texto,etiqueta
Ganaste un premio reclama tu dinero ahora,spam
Oferta exclusiva gana dinero fácilmente,spam
Haz clic aquí para recibir tu recompensa,spam
Eres el ganador de un teléfono gratis,spam
Última oportunidad para reclamar tu premio,spam
Compra ahora y recibe un descuento especial,spam
Reunión de trabajo programada para mañana,no_spam
Te envío el informe solicitado,no_spam
La clase comienza a las ocho de la mañana,no_spam
¿Puedes llamarme cuando tengas tiempo?,no_spam
Adjunto el documento de la reunión,no_spam
Recordatorio de la cita médica del viernes,no_spam
El proyecto fue aprobado por el cliente,no_spam
Nos vemos en la oficina esta tarde,no_spam
"Gracias por tu mensaje, responderé pronto",no_spam
Recibe dinero gratis haciendo clic,spam
Has sido seleccionado para ganar un premio,spam
"Oferta limitada, ingresa tus datos ahora",spam
"Felicitaciones, ganaste un viaje gratis",spam
Obtén un préstamo sin requisitos,spam
