reseña,sentimiento
"Excelente producto, estoy muy satisfecho",positiva
Me encantó la calidad y el diseño,positiva
La compra fue rápida y todo llegó perfecto,positiva
"Muy buen servicio, lo recomiendo totalmente",positiva
El producto funciona de maravilla,positiva
Estoy feliz con mi compra,positiva
La calidad es bastante buena,positiva
Es un producto útil y confiable,positiva
El producto cumple con lo prometido,positiva
La atención fue excelente,positiva
"El producto es normal, nada especial",neutral
"Cumple su función, pero podría mejorar",neutral
La calidad es aceptable por el precio,neutral
"No está mal, aunque esperaba algo más",neutral
El servicio fue regular,neutral
El producto funciona de manera promedio,neutral
"No me gustó, llegó defectuoso",negativa
"Pésima calidad, fue una pérdida de dinero",negativa
Estoy muy decepcionado con la compra,negativa
El producto dejó de funcionar rápidamente,negativa
El servicio fue terrible,negativa
No recomiendo este producto,negativa
La entrega fue tardía y el producto llegó roto,negativa
La calidad es muy mala,negativa
Una experiencia horrible,negativa
